,wheel_l,wheel_r,beta_l,beta_r,alpha,i,j
0,2.961001277059364,3.2189115160765374,-0.024959041767688206,-0.023908374475366645,0.030232025692873178,1,2
1,4.19944864445739,4.2106551591597094,-0.004668375122466595,0.009642244037618264,0.043109892475403984,1,2
2,5.50068430484062,5.021006126342603,-0.002480884276429285,-0.007000959325504819,0.11525807047230671,1,2
3,7.177592432203645,5.700976774982104,0.020784014132050554,-0.005267993146947925,0.0630940802740291,1,2
4,7.712787403348852,4.732516486832681,0.0052773162415967745,-0.03294297170946009,0.04039104545425582,1,2
5,8.458764341720778,3.8446965145444327,0.014434271642068897,-0.03242014791748127,0.0835357290682564,1,2
6,7.892687769808547,4.829038787738023,0.031647020090274536,0.006099964044848916,0.06283844610081232,1,2
7,7.30154935388014,5.706416404356622,-0.0069541945124255156,-0.018572499245932073,0.04088392566322765,1,2
8,6.72648437853702,6.381318362240962,0.01097124173301689,0.0003234722877617502,-0.07827373105482295,1,2
9,6.043899889963979,6.884163198174227,0.02233573473961209,0.022510801119434598,0.03532999402628702,2,2
10,5.166964338262801,7.325726890410513,-0.01661898356317215,0.004435402925246357,0.0,2,2
11,4.470702625991726,7.769549837589181,-0.015117784045438454,0.011099813370821332,-0.09772891712414375,2,2
12,4.796292920184478,7.74154604727887,0.004768263991677735,0.0264610408570507,-0.07826198641157109,2,2
13,5.126335167625527,7.734384037493942,-0.02791320899545191,0.002873913775939485,-0.06066566303765739,2,2
14,5.378467857440998,7.733874595016446,-0.02739312379227271,-0.004972072278573103,-0.018779271144015456,2,2
15,5.514770079922017,7.721852974611971,0.0072594292968777285,0.03549643473487418,0.003320174096782232,2,2
16,5.519031055587587,7.688260967192411,0.017274811130131518,0.034046038254163524,0.009897140328831497,2,2
17,5.365684509751298,7.664004187008054,0.0058634960875532105,0.025959002053274505,-0.01563621907314326,2,2
18,5.141949315042431,7.760443911260443,-0.0042769966107424895,0.01888783859181331,-0.058301836394962614,2,2
19,5.016540560698321,7.949471331904281,-0.04322893196220429,-0.010869906495869275,0.021545597393561603,2,2
20,5.087265405103046,8.246245387493929,-0.024503019207436194,0.009721076244666338,-0.07969691690171933,2,2
21,5.440117489837623,8.656328412951932,-0.05709118947698594,-0.017669476507474413,-0.02939742135693629,2,2
22,6.102682763326433,9.185475186051404,-0.05561779067810668,-0.014597174711374783,-0.06576928824943584,2,2
23,7.159805352798022,9.630701663557565,-0.005807533074445814,0.015514735518805,-0.046302868154569556,2,2
24,8.16269895687054,9.763202000389532,0.03748891773796559,0.04952922522563141,-0.007205826050134455,2,1
25,8.848549004422845,9.836648314841717,0.0003651868318843565,0.009499243087979004,-0.017936217643107502,2,1
26,9.21571287678036,9.739523619009734,-0.02942835773832375,-0.017767450179703048,-0.04237278804183957,2,1
27,9.253663990652264,9.384998972589875,-0.0331430604448254,-0.02941701235866745,-0.01167344112744686,2,1
28,8.96766842865878,8.697716000088455,0.019473531118755383,0.015339044479371289,0.027244643713239758,2,1
29,8.40091191234507,7.76278133443788,-0.006192690062098882,-0.009007017724325217,-0.030820304236006884,2,1
30,7.773400775290914,6.797106021303579,0.016800049369933845,0.001932592498419372,-0.011456729388735988,2,1
31,7.208203108620808,5.7642998823117235,-0.005325431882519549,-0.02133301550368316,0.010647374961411438,2,1
32,6.768898496560063,4.667691446294836,0.009318925276709078,-0.015644722652382537,-0.060982907901537584,2,1
33,6.536528109908488,3.570841695912697,0.029208089217379607,-0.011827350771326406,-0.029055796828741588,2,1
34,6.567462124985333,2.6710302260339223,0.0023138966089595314,-0.052547681411286545,-0.014909833514555637,2,1
35,6.256444241554534,2.873796491516979,-0.0052835355026844555,-0.04349668001714174,0.12296694162986518,2,0
36,5.63774514268062,3.6138555948172035,0.01259880538080671,-0.007383497849822673,-0.05380188158417052,2,0
37,4.987234674366858,4.242830778749957,0.002167642701847383,-0.011088996760468539,-0.03321295698011647,2,0
38,4.226595929147172,4.7569855058088235,0.021764637475287618,0.018993383959156673,-0.045341966523542436,2,0
39,3.1883057959795935,5.286144567705292,-0.004941851185482737,0.026345606706799307,0.03957343851386831,2,0
40,1.9806157113995828,6.073618599630338,-0.02334976042771217,0.029266078250937744,-0.05590078286705463,2,0
41,1.975786448077852,6.299238017125763,-0.02303314435896406,0.018610970893141565,0.08772910680845263,2,0
42,2.5087224544219358,6.270391437861942,-0.009097641691991593,0.024606768282591007,-0.01014512529758225,2,0
43,3.1388620433646466,6.332826873891727,-0.014167597540013843,0.023689652896925595,-0.015894981830056797,2,0
44,3.7917628266880343,6.495319411082228,0.007103595689933739,0.03090773165663896,-0.12603586179160162,2,0
45,4.428690343491352,6.745607669221938,0.016142260130179553,0.04561765643366178,0.07260967658934897,2,0
46,5.034146757773276,7.064976181215594,-0.004038621783961971,0.02012908415548953,-0.03728878970434255,2,0
47,5.553811430031157,7.339943094879548,0.007839204396766719,0.026068316647558154,0.011270421007498161,2,0
48,5.837817776464172,7.544520027527186,-0.007553085495954237,0.007225613742977477,-0.04053460905076649,2,0
49,5.899477398971926,7.675000897043315,-0.03981542866789867,-0.018442269066879957,-0.06611131805208471,2,0
50,5.754395851023991,7.745050539750427,0.002234114492490058,0.02684109285125147,-0.031112369459035685,2,0
51,5.426710126663868,7.800528034119486,-0.002770667217255718,0.025232043098896706,-0.018323087305581017,1,0
52,4.980659208036688,7.920332093568271,-0.05473027455932011,-0.02175751172514684,-0.06876788034586179,1,0
53,5.335091336920755,7.4754475479336016,-0.020158362137820962,-0.006241457070808809,0.0,1,0
54,5.992098489235878,7.108984265166222,-0.011032156156733364,0.003582572562602415,0.002987240097534781,1,0
55,6.79326165239118,6.957134779388441,-0.006634800370482252,-0.00951968478156795,0.04913345682991402,1,0
56,7.707088026132131,7.096098188512644,0.03845586914118526,0.020122085772810716,-0.010565129609223622,1,0
57,8.75493793528203,7.572540107350373,0.010252691788233625,-0.004434076339353221,0.025077383164683213,1,0
58,9.900791780054135,8.507738662209558,0.004563625221947087,-0.0058366961363306435,-0.01785314824832631,1,0
59,10.35451118470739,9.77482713597253,0.014201732025784564,-0.003099800339950165,0.01710590390825092,1,0
60,10.33769477118827,10.401076254727155,-0.004074029571561444,0.013229553263649607,0.024713217836470385,0,0
61,9.716235498160229,10.462414519317585,0.027621669948136418,0.04346178754493657,-0.032865630377551754,0,0
62,8.392986323523658,10.114846385866407,-0.033098698783626146,-0.01645865619591369,-0.0025830977491378346,0,0
63,6.268413865146178,9.771126195510798,-0.03954311129584087,0.008737369361992209,-0.061125769561257884,0,0
64,4.056282155831786,10.035387372519672,-0.032930376560805996,0.022871951349325848,-0.080462713141638,0,0
65,4.487149114039667,9.493350283118152,-0.04890219083211933,-0.0010663248512579049,-0.07232199715975503,0,0
66,5.420584188776035,8.536731191379573,0.0046338260897284544,0.03925557782931022,-0.01959419630304253,0,0
67,6.20516978631484,7.5988949217840975,-7.040680402348176e-05,0.012582855491330536,-0.018276971056867302,0,0
68,6.71821884906627,6.591704860002146,-0.012419415662544009,-0.018261745418262643,0.03433873086628863,0,0
69,7.044303915340933,5.2551385136122635,0.010204089759241919,-0.01553324966057329,-0.04549584624900174,0,0
70,7.015827596909421,4.192247976862004,-0.007273343193765602,-0.04028076890450827,0.05976041664955942,0,1
71,6.383983651121357,4.702731751933931,0.027667884929278297,0.0077471251799514085,0.022316894965864295,0,1
