,wheel_l,wheel_r,beta_l,beta_r,alpha
72,0.63636,7.0,-0.032776,0.036583,-0.10365
73,0.63636,5.7273,-0.029271,0.02931,-0.080883
74,0.63636,4.4545,-0.022975,0.021925,-0.045983
75,0.63636,3.1818,-0.016038,0.014835,-0.018598
76,0.63636,1.9091,-0.0088989,0.0078617,0.0027539
77,0.63636,0.63636,-0.0020389,0.0011349,0.00531
84,1.9091,7.0,-0.02668,0.028599,-0.066625
85,1.9091,5.7273,-0.020484,0.021019,-0.035882
86,1.9091,4.4545,-0.013679,0.013773,-0.013306
87,1.9091,3.1818,-0.0066067,0.0066183,0.001669
88,1.9091,1.9091,5.3587e-05,-2.5783e-05,-4.8043e-05
89,1.9091,0.63636,0.006674,-0.0066498,-0.010917
96,3.1818,7.0,-0.020296,0.021011,-0.036985
97,3.1818,5.7273,-0.013611,0.013739,-0.014817
98,3.1818,4.4545,-0.0065925,0.0066087,-0.00066808
99,3.1818,3.1818,4.8522e-05,-3.0958e-05,-2.8704e-05
100,3.1818,1.9091,0.0066186,-0.0066071,-0.0016687
101,3.1818,0.63636,0.01377,-0.013718,0.0089879
108,4.4545,7.0,-0.013509,0.013684,-0.016176
109,4.4545,5.7273,-0.0065545,0.0065734,-0.0024841
110,4.4545,4.4545,4.6373e-05,-3.3215e-05,-2.0416e-05
111,4.4545,3.1818,0.0066087,-0.0065925,0.00066808
112,4.4545,1.9091,0.013773,-0.013679,0.013306
113,4.4545,0.63636,0.021013,-0.020672,0.033218
120,5.7273,7.0,-0.0065404,0.0065578,-0.0029948
121,5.7273,5.7273,4.5195e-05,-3.4499e-05,-1.5811e-05
122,5.7273,4.4545,0.0065734,-0.0065545,0.0024841
123,5.7273,3.1818,0.013739,-0.013611,0.014817
124,5.7273,1.9091,0.021019,-0.020484,0.035881
125,5.7273,0.63636,0.028545,-0.027219,0.06517
132,7.0,7.0,5.6454e-05,-4.7338e-05,-1.6752e-05
133,7.0,5.7273,0.0065578,-0.0065404,0.0029948
134,7.0,4.4545,0.013684,-0.013509,0.016177
135,7.0,3.1818,0.021011,-0.020296,0.036991
136,7.0,1.9091,0.028595,-0.02667,0.066783
137,7.0,0.63636,0.036581,-0.032778,0.10363
