,wheel_l,wheel_r,beta_l,beta_r,alpha
72,0.63636,7.0,-0.032011,0.037037,-0.12078
73,0.63636,5.7273,-0.02683,0.028662,-0.076328
74,0.63636,4.4545,-0.020629,0.021076,-0.03977
75,0.63636,3.1818,-0.013687,0.013758,-0.011553
76,0.63636,1.9091,-0.0066472,0.0066723,0.0099911
77,0.63636,0.63636,1.2497e-06,5.8276e-05,0.00011964
84,1.9091,7.0,-0.026283,0.028774,-0.077936
85,1.9091,5.7273,-0.020395,0.02109,-0.042468
86,1.9091,4.4545,-0.013616,0.013744,-0.016345
87,1.9091,3.1818,-0.0066145,0.0066132,0.001444
88,1.9091,1.9091,-1.816e-05,3.8974e-05,3.9752e-05
89,1.9091,0.63636,0.0066723,-0.0066472,-0.0099911
96,3.1818,7.0,-0.020111,0.021049,-0.043698
97,3.1818,5.7273,-0.013581,0.013751,-0.01796
98,3.1818,4.4545,-0.006576,0.0065971,-0.0017026
99,3.1818,3.1818,-2.2081e-05,3.5147e-05,2.3777e-05
100,3.1818,1.9091,0.0066132,-0.0066145,-0.0014441
101,3.1818,0.63636,0.013758,-0.013687,0.011553
108,4.4545,7.0,-0.013494,0.013713,-0.018893
109,4.4545,5.7273,-0.0065485,0.0065581,-0.0030846
110,4.4545,4.4545,-2.3791e-05,3.3529e-05,1.6931e-05
111,4.4545,3.1818,0.0065971,-0.006576,0.0017026
112,4.4545,1.9091,0.013744,-0.013616,0.016344
113,4.4545,0.63636,0.021075,-0.020629,0.039723
120,5.7273,7.0,-0.006497,0.0065248,-0.0040308
121,5.7273,5.7273,-2.4766e-05,3.2646e-05,1.3127e-05
122,5.7273,4.4545,0.0065581,-0.0065485,0.0030846
123,5.7273,3.1818,0.013751,-0.013581,0.017958
124,5.7273,1.9091,0.02109,-0.020397,0.042428
125,5.7273,0.63636,0.028657,-0.026834,0.076121
132,7.0,7.0,3.3465e-06,3.3465e-06,2.8074e-17
133,7.0,5.7273,0.0065248,-0.006497,0.0040308
134,7.0,4.4545,0.013713,-0.013494,0.018892
135,7.0,3.1818,0.021049,-0.020112,0.043688
136,7.0,1.9091,0.02877,-0.026284,0.077967
137,7.0,0.63636,0.037018,-0.032025,0.12071
